norad_id,name,mean_motion_nominal,eccentricity,inclination_deg,bstar,mean_motion_dot,altitude_km_approx,period_minutes
32958,FENGYUN 3A,14.19569818,0.00093128,98.6882,4.6024402e-05,5.4e-07,833.9,101.44
33320,HUANJING 1A (HJ-1A),14.83969301,0.00193586,97.6682,5.3664977e-05,3.96e-06,624.0,97.04
33321,HUANJING 1B (HJ-1B),14.8330546,0.0035445,97.6517,0.00011676739,9.14e-06,626.0,97.08
33408,SHIJIAN-6 03A (SJ-6 03A),15.17103036,0.00123455,97.8415,0.00029801767,5.845e-05,521.7,94.92
33409,SHIJIAN-6 03B (SJ-6 03B),15.04292829,0.00211561,97.8588,9.9410372e-05,1.325e-05,560.8,95.73
33434,CHUANGXIN 1-02 (CX-1-02),14.30151894,0.00146294,98.6141,4.1561541e-05,6.4e-07,798.4,100.69
33498,STARS (KUKAI),14.9570311,0.00083489,98.154,0.00033912751,3.715e-05,587.3,96.28
33499,KKS-1 (KISEKI),14.83106801,0.00069162,98.1192,0.00015146337,1.178e-05,626.7,97.09
33591,NOAA 19,14.134732,0.00145679,98.952,3.4864673e-05,2.1e-07,854.6,101.88
35683,UK-DMC 2,14.76026394,0.00012856,97.8825,4.9918734e-05,2.94e-06,649.0,97.56
35865,METEOR-M 1,14.23155436,0.00019841,98.7382,5.0606164e-05,7e-07,821.8,101.18
35931,OCEANSAT-2,13.99664567,0.00147499,98.2324,5.5190039e-05,4.3e-07,902.1,102.88
35932,SWISSCUBE,14.62467613,0.00055621,98.4042,0.00019187016,9.22e-06,692.4,98.46
35933,BEESAT-1,14.61709764,0.00039441,98.3971,0.00015360051,7.16e-06,694.8,98.51
35935,ITUPSAT1,14.60430038,0.00061248,98.4056,0.00014898186,6.73e-06,698.9,98.6
35951,DMSP 5D-3 F18 (USA 210),14.1489305,0.00098481,98.9035,0.00014666302,2.39e-06,849.8,101.77
36037,PROBA-2,14.54859541,0.00121625,98.245,4.9671138e-05,1.68e-06,717.0,98.98
36110,YAOGAN-7,14.78003181,0.00258886,98.0081,6.5797534e-05,4.24e-06,642.8,97.43
36122,XIWANG-1 (HOPE-1),13.16437396,0.00068051,100.402,-0.00063979584,-2.89e-06,1205.5,109.39
36358,RADUGA-1M 2,0.98969324,0.0005791,3.6018,0.0,-2.11e-06,36162.9,1455.0
36519,COSMOS 2463,13.71665277,0.00370312,82.9607,2.0049673e-05,3.4e-07,1000.7,104.98
36795,CARTOSAT-2B,14.78654636,0.00106623,97.9957,0.0001461933,1.02e-05,640.7,97.39
36797,AISSAT 1,14.97330485,0.00105973,98.0925,0.00020910434,2.366e-05,582.3,96.17
36799,TISAT 1,15.31457089,4.649e-05,98.07,0.00059832062,0.00018113,478.6,94.03
36834,YAOGAN-10,14.85327689,0.00016218,97.8981,0.00015164732,1.25e-05,619.7,96.95
37180,SHIJIAN-6 04B (SJ-6 04B),14.99299198,0.00089096,97.8685,8.8288736e-05,1.017e-05,576.2,96.04
37214,FENGYUN 3B,14.14839772,0.00215057,98.9624,1.9415141e-05,-8e-08,850.0,101.78
37216,COSMO-SKYMED 4,14.82148734,0.0001437,97.8892,5.8471244e-05,4.13e-06,629.7,97.16
37224,O/OREOS (USA 219),14.93715981,0.00124245,71.9706,0.00020272838,2.087e-05,593.5,96.4
37344,ELEKTRO-L 1 (GOMS 2),1.00155788,0.0004156,9.6694,0.0,-4.5e-07,35826.3,1437.76
37387,RESOURCESAT-2,14.21605005,0.0010121,98.7644,4.159475e-05,4.7e-07,827.1,101.29
37388,YOUTHSAT,14.25627595,0.00146418,98.3679,8.5721774e-05,1.62e-06,813.5,101.01
37793,APRIZESAT 6,14.76905986,0.00444123,98.2371,9.6098408e-05,6.3e-06,646.2,97.5
37839,JUGNU,14.1377489,0.0018562,19.9621,6.9141e-05,3.99e-06,853.6,101.85
37841,SRMSAT,14.1157415,0.00119228,19.9713,4.9378482e-05,3.56e-06,861.1,102.01
37849,SUOMI NPP,14.1951602,0.00018998,98.7953,4.9156439e-05,5.9e-07,834.1,101.44
37875,YAOGAN-12,15.26525625,0.0008223,97.115,0.0003137646,8.136e-05,493.3,94.33
38251,BEIDOU-2 M4,1.86229817,0.00111465,55.6651,0.0,-6e-07,21535.3,773.24
38338,ARIRANG-3 (KOMPSAT-3),14.62200374,0.00064193,98.1174,8.2025827e-05,3.67e-06,693.2,98.48
38340,HORYU-2,14.91028242,0.00077625,98.2163,0.00032994805,3.205e-05,601.9,96.58
38761,CSSWE,15.4412809,0.0048114,64.6611,0.00051229,0.00024446,441.1,93.26
38763,CP5,15.27616329,0.00798669,64.6434,0.00033100708,9.642e-05,490.1,94.26
38771,METOP-B,14.21430905,0.00026255,98.6506,5.793355e-05,8.3e-07,827.7,101.31
38860,SJ-9A,14.85460595,0.00239136,97.6705,0.00014173871,1.175e-05,619.3,96.94
39059,COSMOS 2484 (RODNIK-S 6),12.42938675,0.00271275,82.5019,-0.0003484245,-3.8e-07,1501.3,115.85
39086,SARAL,14.32854299,0.00010665,98.5557,4.6573363e-05,8.3e-07,789.3,100.5
39087,AAUSAT 3,14.39930829,0.0010389,98.3702,0.00019332,5.65e-06,765.9,100.0
39090,STRAND-1,14.37159178,0.0007466,98.3921,0.0001011,2.58e-06,775.0,100.2
39091,BRITE-AUSTRIA,14.36539349,0.00089765,98.3993,6.6105194e-05,1.51e-06,777.1,100.24
39092,UNIBRITE,14.36410449,0.00079037,98.4032,7.2936935e-05,1.71e-06,777.5,100.25
39133,AIST-2 (RS43),15.26230879,0.00189921,64.8694,0.00020928006,5.26e-05,494.2,94.35
39150,GAOFEN-1,14.76528932,0.00158241,97.9094,3.7083935e-05,2.08e-06,647.4,97.53
39151,NEE-01 PEGASO,14.93627979,0.0012551,98.1215,0.00023819067,2.457e-05,593.8,96.41
39152,TURKSAT-3USAT,14.96383848,0.00134965,97.7921,0.00030463442,3.398e-05,585.2,96.23
39153,CUBEBUG-1 (CAPITAN BETO),14.97257943,0.00116063,98.1665,0.00020960871,2.367e-05,582.5,96.18
39159,PROBA-V,14.23595585,0.00048636,98.3581,4.755031e-05,6.7e-07,820.4,101.15
39161,ESTCUBE 1,14.81378596,0.0009198,97.7296,0.00018638633,1.407e-05,632.1,97.21
39227,ARIRANG-5 (KOMPSAT-5),15.0447465,0.00047031,97.6219,0.00010523075,1.411e-05,560.3,95.71
39249,GONETS-M 5,12.42891391,0.00158438,82.4837,-0.00014575151,-1e-07,1501.5,115.86
39251,GONETS-M 7,12.42914298,0.00166185,82.4904,1.603883e-06,1e-07,1501.4,115.86
39260,FENGYUN 3C,14.15753556,0.00155688,98.4976,6.3845188e-05,8.4e-07,846.9,101.71
39265,CASSIOPE,15.24573915,0.0295025,80.9145,0.00045670273,0.00041526,499.2,94.45
39416,APRIZESAT 7,14.91550159,0.0034535,97.7706,8.4321786e-05,7.96e-06,600.2,96.54
39417,ZACUBE-1 (TSHEPISOSAT),15.01145439,0.00401131,97.8088,0.00025692287,3.283e-05,570.5,95.93
39425,APRIZESAT 8,14.87638823,0.0044754,97.8219,0.00010783461,9.41e-06,612.5,96.8
39426,CINEMA-3 (KHUSAT-2),14.78285178,0.00886524,97.8408,0.00012329941,8.99e-06,641.9,97.41
39427,TRITON-1,14.81681229,0.00883579,97.8247,0.00012744639,1.014e-05,631.2,97.19
39428,DELFI-N3XT,14.95017787,0.00730295,97.8343,0.00036084685,4.099e-05,589.5,96.32
39430,GOMX-1,14.69434465,0.01301609,97.6495,0.00023678899,1.546e-05,670.0,98.0
39431,BRITE-PL1 (LEM),14.51364676,0.01906093,97.7957,8.5232009e-05,3.81e-06,728.3,99.22
39432,ICUBE-1,15.25674954,0.00160026,97.5686,0.00049168574,0.00012499,495.9,94.38
39438,VELOX-PII,14.93068377,0.00530044,97.8732,0.00031358625,3.294e-05,595.5,96.45
39440,CUBEBUG-2 (LO-74),14.93705686,0.00590877,97.8902,0.00032201289,3.464e-05,593.5,96.4
39441,NEE-02 KRYSAOR,14.86589658,0.00677431,97.8886,0.00019173345,1.714e-05,615.7,96.87
39444,FUNCUBE-1 (AO-73),15.0940857,0.00350076,97.8263,0.000317536,5.08e-05,545.1,95.4
39445,HINCUBE,15.0819676,0.00316209,97.7963,0.00040893391,6.331e-05,548.8,95.48
39446,UWE-3,14.96970973,0.00485957,97.8684,0.00032850626,3.805e-05,583.4,96.19
39469,SMDC ONE 2.4,15.18055669,0.01443625,120.4932,0.00033537806,8.639e-05,518.9,94.86
39471,CP8 (IPEX),15.08015826,0.01636705,120.4641,0.00025974037,5.093e-05,549.4,95.49
